task	stage	job_id
pusht	reused_core	296631
pusht	reused_controls	296632
pusht	reused_reachability	296633
pusht	preflight	297050
pusht	b0	297051
pusht	a1	297052
pusht	gate	297053
pusht	d1	297054
pusht	capture	297055
pusht	score	297056
pusht	execute	297057
pusht	audit	297058
pusht	sensitivity	297059
pusht	latency_cuda	297060
pusht	latency_episode	297061
reacher	reused_core	296650
reacher	reused_controls	296651
reacher	reused_reachability	296652
reacher	preflight	297062
reacher	b0	297063
reacher	a1	297064
reacher	gate	297065
reacher	d1	297066
reacher	capture	297067
reacher	score	297068
reacher	execute	297069
reacher	audit	297070
reacher	sensitivity	297071
reacher	latency_cuda	297072
reacher	latency_episode	297073
cube	reused_core	296669
cube	reused_controls	296670
cube	reused_reachability	296671
cube	preflight	297074
cube	b0	297075
cube	a1	297076
cube	gate	297077
cube	d1	297078
cube	capture	297079
cube	score	297080
cube	execute	297081
cube	audit	297082
cube	sensitivity	297083
cube	latency_cuda	297084
cube	latency_episode	297085
all	diagnostic_preflight	297049
all	closed_loop_development	297086
all	validation	297087
all	mechanism	297088
all	sensitivity_analysis	297089
